REF_DATE,CITY,PROVINCE,Type of fuel,VALUE
Jan-79,St. John's, Newfoundland and Labrador,Regular Unleaded,26.0
Jan-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,24.6
Jan-79,Halifax, Nova Scotia,Regular Unleaded,23.4
Jan-79,Saint John, New Brunswick,Regular Unleaded,23.2
Jan-79,Québec, Quebec,Regular Unleaded,22.6
Jan-79,Montréal, Quebec,Regular Unleaded,22.6
Jan-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,22.8
Jan-79,Toronto, Ontario,Regular Unleaded,23.0
Jan-79,Thunder Bay, Ontario,Regular Unleaded,22.7
Jan-79,Winnipeg, Manitoba,Regular Unleaded,22.0
Jan-79,Regina, Saskatchewan,Regular Unleaded,22.8
Jan-79,Saskatoon, Saskatchewan,Regular Unleaded,22.7
Jan-79,Edmonton, Alberta,Regular Unleaded,18.3
Jan-79,Calgary, Alberta,Regular Unleaded,18.7
Jan-79,Vancouver, British Columbia,Regular Unleaded,21.8
Feb-79,St. John's, Newfoundland and Labrador,Regular Unleaded,26.2
Feb-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,24.8
Feb-79,Halifax, Nova Scotia,Regular Unleaded,23.6
Feb-79,Saint John, New Brunswick,Regular Unleaded,23.6
Feb-79,Québec, Quebec,Regular Unleaded,22.7
Feb-79,Montréal, Quebec,Regular Unleaded,22.6
Feb-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,22.8
Feb-79,Toronto, Ontario,Regular Unleaded,23.2
Feb-79,Thunder Bay, Ontario,Regular Unleaded,22.7
Feb-79,Winnipeg, Manitoba,Regular Unleaded,20.9
Feb-79,Regina, Saskatchewan,Regular Unleaded,22.8
Feb-79,Saskatoon, Saskatchewan,Regular Unleaded,22.9
Feb-79,Edmonton, Alberta,Regular Unleaded,18.5
Feb-79,Calgary, Alberta,Regular Unleaded,18.9
Feb-79,Vancouver, British Columbia,Regular Unleaded,21.7
Mar-79,St. John's, Newfoundland and Labrador,Regular Unleaded,26.2
Mar-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,24.9
Mar-79,Halifax, Nova Scotia,Regular Unleaded,23.5
Mar-79,Saint John, New Brunswick,Regular Unleaded,23.6
Mar-79,Québec, Quebec,Regular Unleaded,22.8
Mar-79,Montréal, Quebec,Regular Unleaded,22.7
Mar-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,22.9
Mar-79,Toronto, Ontario,Regular Unleaded,23.2
Mar-79,Thunder Bay, Ontario,Regular Unleaded,22.9
Mar-79,Winnipeg, Manitoba,Regular Unleaded,19.6
Mar-79,Regina, Saskatchewan,Regular Unleaded,22.7
Mar-79,Saskatoon, Saskatchewan,Regular Unleaded,22.9
Mar-79,Edmonton, Alberta,Regular Unleaded,18.4
Mar-79,Calgary, Alberta,Regular Unleaded,18.9
Mar-79,Vancouver, British Columbia,Regular Unleaded,22.2
Apr-79,St. John's, Newfoundland and Labrador,Regular Unleaded,26.3
Apr-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,25.1
Apr-79,Halifax, Nova Scotia,Regular Unleaded,23.9
Apr-79,Saint John, New Brunswick,Regular Unleaded,23.8
Apr-79,Québec, Quebec,Regular Unleaded,23.0
Apr-79,Montréal, Quebec,Regular Unleaded,22.7
Apr-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,23.6
Apr-79,Toronto, Ontario,Regular Unleaded,23.4
Apr-79,Thunder Bay, Ontario,Regular Unleaded,23.4
Apr-79,Winnipeg, Manitoba,Regular Unleaded,20.4
Apr-79,Regina, Saskatchewan,Regular Unleaded,21.1
Apr-79,Saskatoon, Saskatchewan,Regular Unleaded,23.1
Apr-79,Edmonton, Alberta,Regular Unleaded,18.4
Apr-79,Calgary, Alberta,Regular Unleaded,19.1
Apr-79,Vancouver, British Columbia,Regular Unleaded,22.7
May-79,St. John's, Newfoundland and Labrador,Regular Unleaded,26.5
May-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,25.3
May-79,Halifax, Nova Scotia,Regular Unleaded,24.0
May-79,Saint John, New Brunswick,Regular Unleaded,23.9
May-79,Québec, Quebec,Regular Unleaded,23.2
May-79,Montréal, Quebec,Regular Unleaded,22.9
May-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,23.5
May-79,Toronto, Ontario,Regular Unleaded,23.4
May-79,Thunder Bay, Ontario,Regular Unleaded,23.0
May-79,Winnipeg, Manitoba,Regular Unleaded,22.4
May-79,Regina, Saskatchewan,Regular Unleaded,22.7
May-79,Saskatoon, Saskatchewan,Regular Unleaded,23.2
May-79,Edmonton, Alberta,Regular Unleaded,18.6
May-79,Calgary, Alberta,Regular Unleaded,19.2
May-79,Vancouver, British Columbia,Regular Unleaded,22.7
Jun-79,St. John's, Newfoundland and Labrador,Regular Unleaded,26.5
Jun-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,25.4
Jun-79,Halifax, Nova Scotia,Regular Unleaded,24.0
Jun-79,Saint John, New Brunswick,Regular Unleaded,23.9
Jun-79,Québec, Quebec,Regular Unleaded,23.3
Jun-79,Montréal, Quebec,Regular Unleaded,22.9
Jun-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,21.3
Jun-79,Toronto, Ontario,Regular Unleaded,23.2
Jun-79,Thunder Bay, Ontario,Regular Unleaded,22.6
Jun-79,Winnipeg, Manitoba,Regular Unleaded,22.6
Jun-79,Regina, Saskatchewan,Regular Unleaded,21.9
Jun-79,Saskatoon, Saskatchewan,Regular Unleaded,23.0
Jun-79,Edmonton, Alberta,Regular Unleaded,18.6
Jun-79,Calgary, Alberta,Regular Unleaded,19.0
Jun-79,Vancouver, British Columbia,Regular Unleaded,22.7
Jul-79,St. John's, Newfoundland and Labrador,Regular Unleaded,26.7
Jul-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,25.5
Jul-79,Halifax, Nova Scotia,Regular Unleaded,24.0
Jul-79,Saint John, New Brunswick,Regular Unleaded,24.2
Jul-79,Québec, Quebec,Regular Unleaded,23.8
Jul-79,Montréal, Quebec,Regular Unleaded,23.6
Jul-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,23.6
Jul-79,Toronto, Ontario,Regular Unleaded,23.7
Jul-79,Thunder Bay, Ontario,Regular Unleaded,24.1
Jul-79,Winnipeg, Manitoba,Regular Unleaded,22.8
Jul-79,Regina, Saskatchewan,Regular Unleaded,23.0
Jul-79,Saskatoon, Saskatchewan,Regular Unleaded,23.4
Jul-79,Edmonton, Alberta,Regular Unleaded,18.8
Jul-79,Calgary, Alberta,Regular Unleaded,19.1
Jul-79,Vancouver, British Columbia,Regular Unleaded,22.9
Aug-79,St. John's, Newfoundland and Labrador,Regular Unleaded,26.9
Aug-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,25.6
Aug-79,Halifax, Nova Scotia,Regular Unleaded,24.5
Aug-79,Saint John, New Brunswick,Regular Unleaded,24.2
Aug-79,Québec, Quebec,Regular Unleaded,24.2
Aug-79,Montréal, Quebec,Regular Unleaded,23.9
Aug-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,23.9
Aug-79,Toronto, Ontario,Regular Unleaded,23.8
Aug-79,Thunder Bay, Ontario,Regular Unleaded,24.2
Aug-79,Winnipeg, Manitoba,Regular Unleaded,21.0
Aug-79,Regina, Saskatchewan,Regular Unleaded,23.0
Aug-79,Saskatoon, Saskatchewan,Regular Unleaded,23.4
Aug-79,Edmonton, Alberta,Regular Unleaded,18.8
Aug-79,Calgary, Alberta,Regular Unleaded,19.2
Aug-79,Vancouver, British Columbia,Regular Unleaded,23.2
Sep-79,St. John's, Newfoundland and Labrador,Regular Unleaded,28.3
Sep-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,26.7
Sep-79,Halifax, Nova Scotia,Regular Unleaded,25.4
Sep-79,Saint John, New Brunswick,Regular Unleaded,25.3
Sep-79,Québec, Quebec,Regular Unleaded,25.3
Sep-79,Montréal, Quebec,Regular Unleaded,25.1
Sep-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,25.1
Sep-79,Toronto, Ontario,Regular Unleaded,25.1
Sep-79,Thunder Bay, Ontario,Regular Unleaded,25.8
Sep-79,Winnipeg, Manitoba,Regular Unleaded,24.6
Sep-79,Regina, Saskatchewan,Regular Unleaded,25.1
Sep-79,Saskatoon, Saskatchewan,Regular Unleaded,25.1
Sep-79,Edmonton, Alberta,Regular Unleaded,19.7
Sep-79,Calgary, Alberta,Regular Unleaded,20.3
Sep-79,Vancouver, British Columbia,Regular Unleaded,24.3
Oct-79,St. John's, Newfoundland and Labrador,Regular Unleaded,28.6
Oct-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,26.9
Oct-79,Halifax, Nova Scotia,Regular Unleaded,25.4
Oct-79,Saint John, New Brunswick,Regular Unleaded,25.3
Oct-79,Québec, Quebec,Regular Unleaded,25.6
Oct-79,Montréal, Quebec,Regular Unleaded,25.3
Oct-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,25.3
Oct-79,Toronto, Ontario,Regular Unleaded,25.6
Oct-79,Thunder Bay, Ontario,Regular Unleaded,25.8
Oct-79,Winnipeg, Manitoba,Regular Unleaded,24.8
Oct-79,Regina, Saskatchewan,Regular Unleaded,25.1
Oct-79,Saskatoon, Saskatchewan,Regular Unleaded,25.4
Oct-79,Edmonton, Alberta,Regular Unleaded,19.8
Oct-79,Calgary, Alberta,Regular Unleaded,20.5
Oct-79,Vancouver, British Columbia,Regular Unleaded,24.4
Nov-79,St. John's, Newfoundland and Labrador,Regular Unleaded,28.9
Nov-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,27.2
Nov-79,Halifax, Nova Scotia,Regular Unleaded,26.3
Nov-79,Saint John, New Brunswick,Regular Unleaded,25.6
Nov-79,Québec, Quebec,Regular Unleaded,26.0
Nov-79,Montréal, Quebec,Regular Unleaded,25.7
Nov-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,25.9
Nov-79,Toronto, Ontario,Regular Unleaded,25.9
Nov-79,Thunder Bay, Ontario,Regular Unleaded,26.0
Nov-79,Winnipeg, Manitoba,Regular Unleaded,24.9
Nov-79,Regina, Saskatchewan,Regular Unleaded,25.4
Nov-79,Saskatoon, Saskatchewan,Regular Unleaded,25.6
Nov-79,Edmonton, Alberta,Regular Unleaded,20.1
Nov-79,Calgary, Alberta,Regular Unleaded,20.9
Nov-79,Vancouver, British Columbia,Regular Unleaded,24.5
Dec-79,St. John's, Newfoundland and Labrador,Regular Unleaded,29.6
Dec-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,27.8
Dec-79,Halifax, Nova Scotia,Regular Unleaded,26.2
Dec-79,Saint John, New Brunswick,Regular Unleaded,25.9
Dec-79,Québec, Quebec,Regular Unleaded,26.6
Dec-79,Montréal, Quebec,Regular Unleaded,26.3
Dec-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,26.7
Dec-79,Toronto, Ontario,Regular Unleaded,26.7
Dec-79,Thunder Bay, Ontario,Regular Unleaded,26.6
Dec-79,Winnipeg, Manitoba,Regular Unleaded,25.5
Dec-79,Regina, Saskatchewan,Regular Unleaded,26.0
Dec-79,Saskatoon, Saskatchewan,Regular Unleaded,26.3
Dec-79,Edmonton, Alberta,Regular Unleaded,20.9
Dec-79,Calgary, Alberta,Regular Unleaded,21.5
Dec-79,Vancouver, British Columbia,Regular Unleaded,25.4
Jan-80,St. John's, Newfoundland and Labrador,Regular Unleaded,30.2
Jan-80,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,27.8
Jan-80,Halifax, Nova Scotia,Regular Unleaded,26.2
Jan-80,Saint John, New Brunswick,Regular Unleaded,25.9
Jan-80,Québec, Quebec,Regular Unleaded,26.6
Jan-80,Montréal, Quebec,Regular Unleaded,26.3
Jan-80,Ottawa-Gatineau, Ontario part,Regular Unleaded,26.8
Jan-80,Toronto, Ontario,Regular Unleaded,26.7
Jan-80,Thunder Bay, Ontario,Regular Unleaded,26.7
Jan-80,Winnipeg, Manitoba,Regular Unleaded,25.4
Jan-80,Regina, Saskatchewan,Regular Unleaded,26.0
Jan-80,Saskatoon, Saskatchewan,Regular Unleaded,26.3
Jan-80,Edmonton, Alberta,Regular Unleaded,21.3
Jan-80,Calgary, Alberta,Regular Unleaded,21.3
Jan-80,Vancouver, British Columbia,Regular Unleaded,25.6
Jan-80,Victoria, British Columbia,Regular Unleaded,23.8
Feb-80,St. John's, Newfoundland and Labrador,Regular Unleaded,30.2
Feb-80,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,27.8
Feb-80,Halifax, Nova Scotia,Regular Unleaded,26.6
Feb-80,Saint John, New Brunswick,Regular Unleaded,25.9
Feb-80,Québec, Quebec,Regular Unleaded,26.6
Feb-80,Montréal, Quebec,Regular Unleaded,26.5
Feb-80,Ottawa-Gatineau, Ontario part,Regular Unleaded,26.9
Feb-80,Toronto, Ontario,Regular Unleaded,26.9
Feb-80,Thunder Bay, Ontario,Regular Unleaded,26.7
Feb-80,Winnipeg, Manitoba,Regular Unleaded,25.5
Feb-80,Regina, Saskatchewan,Regular Unleaded,25.9
Feb-80,Saskatoon, Saskatchewan,Regular Unleaded,26.2
Feb-80,Edmonton, Alberta,Regular Unleaded,21.3
Feb-80,Calgary, Alberta,Regular Unleaded,21.3
Feb-80,Vancouver, British Columbia,Regular Unleaded,25.6
Feb-80,Victoria, British Columbia,Regular Unleaded,24.3
Mar-80,St. John's, Newfoundland and Labrador,Regular Unleaded,30.8
Mar-80,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,28.9
Mar-80,Halifax, Nova Scotia,Regular Unleaded,27.8
Mar-80,Saint John, New Brunswick,Regular Unleaded,26.7
Mar-80,Québec, Quebec,Regular Unleaded,27.6
Mar-80,Montréal, Quebec,Regular Unleaded,27.4
Mar-80,Ottawa-Gatineau, Ontario part,Regular Unleaded,27.6
Mar-80,Toronto, Ontario,Regular Unleaded,27.7
Mar-80,Thunder Bay, Ontario,Regular Unleaded,27.6
Mar-80,Winnipeg, Manitoba,Regular Unleaded,26.2
Mar-80,Regina, Saskatchewan,Regular Unleaded,26.8
Mar-80,Saskatoon, Saskatchewan,Regular Unleaded,27.0
Mar-80,Edmonton, Alberta,Regular Unleaded,21.9
Mar-80,Calgary, Alberta,Regular Unleaded,22.2
Mar-80,Vancouver, British Columbia,Regular Unleaded,26.5
Mar-80,Victoria, British Columbia,Regular Unleaded,25.3
Apr-80,St. John's, Newfoundland and Labrador,Regular Unleaded,31.1
Apr-80,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,29.0
Apr-80,Halifax, Nova Scotia,Regular Unleaded,27.9
Apr-80,Saint John, New Brunswick,Regular Unleaded,26.7
Apr-80,Québec, Quebec,Regular Unleaded,28.0
Apr-80,Montréal, Quebec,Regular Unleaded,27.6
Apr-80,Ottawa-Gatineau, Ontario part,Regular Unleaded,27.7
Apr-80,Toronto, Ontario,Regular Unleaded,28.1
Apr-80,Thunder Bay, Ontario,Regular Unleaded,27.7
Apr-80,Winnipeg, Manitoba,Regular Unleaded,26.4
Apr-80,Regina, Saskatchewan,Regular Unleaded,26.7
Apr-80,Saskatoon, Saskatchewan,Regular Unleaded,27.3
Apr-80,Edmonton, Alberta,Regular Unleaded,21.9
Apr-80,Calgary, Alberta,Regular Unleaded,22.2
Apr-80,Vancouver, British Columbia,Regular Unleaded,27.3
Apr-80,Victoria, British Columbia,Regular Unleaded,25.3
May-80,St. John's, Newfoundland and Labrador,Regular Unleaded,31.8
May-80,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,29.7
May-80,Halifax, Nova Scotia,Regular Unleaded,28.4
May-80,Saint John, New Brunswick,Regular Unleaded,27.2
May-80,Québec, Quebec,Regular Unleaded,28.4
May-80,Montréal, Quebec,Regular Unleaded,28.2
May-80,Ottawa-Gatineau, Ontario part,Regular Unleaded,28.1
May-80,Toronto, Ontario,Regular Unleaded,28.4
May-80,Thunder Bay, Ontario,Regular Unleaded,28.1
May-80,Winnipeg, Manitoba,Regular Unleaded,26.8
May-80,Regina, Saskatchewan,Regular Unleaded,27.3
May-80,Saskatoon, Saskatchewan,Regular Unleaded,27.6
May-80,Edmonton, Alberta,Regular Unleaded,22.3
May-80,Calgary, Alberta,Regular Unleaded,22.9
May-80,Vancouver, British Columbia,Regular Unleaded,27.7
May-80,Victoria, British Columbia,Regular Unleaded,25.8
Jun-80,St. John's, Newfoundland and Labrador,Regular Unleaded,31.8
Jun-80,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,30.1
Jun-80,Halifax, Nova Scotia,Regular Unleaded,28.4
Jun-80,Saint John, New Brunswick,Regular Unleaded,27.3
Jun-80,Québec, Quebec,Regular Unleaded,28.4
Jun-80,Montréal, Quebec,Regular Unleaded,28.0
Jun-80,Ottawa-Gatineau, Ontario part,Regular Unleaded,28.2
Jun-80,Toronto, Ontario,Regular Unleaded,28.5
Jun-80,Thunder Bay, Ontario,Regular Unleaded,28.1
Jun-80,Winnipeg, Manitoba,Regular Unleaded,26.8
Jun-80,Regina, Saskatchewan,Regular Unleaded,27.3
Jun-80,Saskatoon, Saskatchewan,Regular Unleaded,27.6
Jun-80,Edmonton, Alberta,Regular Unleaded,22.4
Jun-80,Calgary, Alberta,Regular Unleaded,23.0
Jun-80,Vancouver, British Columbia,Regular Unleaded,27.9
Jun-80,Victoria, British Columbia,Regular Unleaded,25.8
Jul-80,St. John's, Newfoundland and Labrador,Regular Unleaded,32.4
Jul-80,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,30.1
Jul-80,Halifax, Nova Scotia,Regular Unleaded,28.9
Jul-80,Saint John, New Brunswick,Regular Unleaded,27.8
Jul-80,Québec, Quebec,Regular Unleaded,29.0
Jul-80,Montréal, Quebec,Regular Unleaded,28.9
Jul-80,Ottawa-Gatineau, Ontario part,Regular Unleaded,28.5
Jul-80,Toronto, Ontario,Regular Unleaded,29.0
Jul-80,Thunder Bay, Ontario,Regular Unleaded,27.2
Jul-80,Winnipeg, Manitoba,Regular Unleaded,27.5
Jul-80,Regina, Saskatchewan,Regular Unleaded,27.8
Jul-80,Saskatoon, Saskatchewan,Regular Unleaded,28.2
Jul-80,Edmonton, Alberta,Regular Unleaded,23.2
Jul-80,Calgary, Alberta,Regular Unleaded,23.5
Jul-80,Vancouver, British Columbia,Regular Unleaded,28.5
Jul-80,Victoria, British Columbia,Regular Unleaded,25.8
Aug-80,St. John's, Newfoundland and Labrador,Regular Unleaded,32.7
Aug-80,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,31.0
Aug-80,Halifax, Nova Scotia,Regular Unleaded,29.1
Aug-80,Saint John, New Brunswick,Regular Unleaded,28.3
Aug-80,Québec, Quebec,Regular Unleaded,29.6
Aug-80,Montréal, Quebec,Regular Unleaded,29.4
Aug-80,Ottawa-Gatineau, Ontario part,Regular Unleaded,28.8
Aug-80,Toronto, Ontario,Regular Unleaded,29.1
Aug-80,Thunder Bay, Ontario,Regular Unleaded,28.8
Aug-80,Winnipeg, Manitoba,Regular Unleaded,27.5
Aug-80,Regina, Saskatchewan,Regular Unleaded,27.7
Aug-80,Saskatoon, Saskatchewan,Regular Unleaded,28.3
Aug-80,Edmonton, Alberta,Regular Unleaded,23.2
Aug-80,Calgary, Alberta,Regular Unleaded,23.6
Aug-80,Vancouver, British Columbia,Regular Unleaded,28.7
Aug-80,Victoria, British Columbia,Regular Unleaded,26.4
Sep-80,St. John's, Newfoundland and Labrador,Regular Unleaded,32.7
Sep-80,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,31.1
Sep-80,Halifax, Nova Scotia,Regular Unleaded,29.1
Sep-80,Saint John, New Brunswick,Regular Unleaded,28.3
Sep-80,Québec, Quebec,Regular Unleaded,29.8
Sep-80,Montréal, Quebec,Regular Unleaded,29.4
Sep-80,Ottawa-Gatineau, Ontario part,Regular Unleaded,29.0
Sep-80,Toronto, Ontario,Regular Unleaded,29.1
Sep-80,Thunder Bay, Ontario,Regular Unleaded,28.8
Sep-80,Winnipeg, Manitoba,Regular Unleaded,26.6
Sep-80,Regina, Saskatchewan,Regular Unleaded,27.7
Sep-80,Saskatoon, Saskatchewan,Regular Unleaded,28.3
Sep-80,Edmonton, Alberta,Regular Unleaded,23.2
Sep-80,Calgary, Alberta,Regular Unleaded,23.5
Sep-80,Vancouver, British Columbia,Regular Unleaded,28.8
Sep-80,Victoria, British Columbia,Regular Unleaded,26.4
Oct-80,St. John's, Newfoundland and Labrador,Regular Unleaded,34.4
Oct-80,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,33.2
Oct-80,Halifax, Nova Scotia,Regular Unleaded,30.9
Oct-80,Saint John, New Brunswick,Regular Unleaded,30.0
Oct-80,Québec, Quebec,Regular Unleaded,31.6
Oct-80,Montréal, Quebec,Regular Unleaded,31.2
Oct-80,Ottawa-Gatineau, Ontario part,Regular Unleaded,30.9
Oct-80,Toronto, Ontario,Regular Unleaded,30.8
Oct-80,Thunder Bay, Ontario,Regular Unleaded,30.4
Oct-80,Winnipeg, Manitoba,Regular Unleaded,29.4
Oct-80,Regina, Saskatchewan,Regular Unleaded,29.6
Oct-80,Saskatoon, Saskatchewan,Regular Unleaded,29.9
Oct-80,Edmonton, Alberta,Regular Unleaded,24.6
Oct-80,Calgary, Alberta,Regular Unleaded,25.2
Oct-80,Vancouver, British Columbia,Regular Unleaded,31.0
Oct-80,Victoria, British Columbia,Regular Unleaded,28.6
Nov-80,St. John's, Newfoundland and Labrador,Regular Unleaded,35.3
Nov-80,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,34.4
Nov-80,Halifax, Nova Scotia,Regular Unleaded,31.5
Nov-80,Saint John, New Brunswick,Regular Unleaded,30.7
Nov-80,Québec, Quebec,Regular Unleaded,32.8
Nov-80,Montréal, Quebec,Regular Unleaded,32.4
Nov-80,Ottawa-Gatineau, Ontario part,Regular Unleaded,31.7
Nov-80,Toronto, Ontario,Regular Unleaded,31.8
Nov-80,Thunder Bay, Ontario,Regular Unleaded,31.7
Nov-80,Winnipeg, Manitoba,Regular Unleaded,30.6
Nov-80,Regina, Saskatchewan,Regular Unleaded,30.7
Nov-80,Saskatoon, Saskatchewan,Regular Unleaded,30.9
Nov-80,Edmonton, Alberta,Regular Unleaded,25.4
Nov-80,Calgary, Alberta,Regular Unleaded,26.1
Nov-80,Vancouver, British Columbia,Regular Unleaded,31.7
Nov-80,Victoria, British Columbia,Regular Unleaded,29.1
Dec-80,St. John's, Newfoundland and Labrador,Regular Unleaded,35.4
Dec-80,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,34.6
Dec-80,Halifax, Nova Scotia,Regular Unleaded,31.5
Dec-80,Saint John, New Brunswick,Regular Unleaded,30.9
Dec-80,Québec, Quebec,Regular Unleaded,32.8
Dec-80,Montréal, Quebec,Regular Unleaded,32.5
Dec-80,Ottawa-Gatineau, Ontario part,Regular Unleaded,31.8
Dec-80,Toronto, Ontario,Regular Unleaded,31.9
Dec-80,Thunder Bay, Ontario,Regular Unleaded,31.9
Dec-80,Winnipeg, Manitoba,Regular Unleaded,27.9
Dec-80,Regina, Saskatchewan,Regular Unleaded,31.0
Dec-80,Saskatoon, Saskatchewan,Regular Unleaded,31.2
Dec-80,Edmonton, Alberta,Regular Unleaded,25.5
Dec-80,Calgary, Alberta,Regular Unleaded,26.2
Dec-80,Vancouver, British Columbia,Regular Unleaded,31.7
Dec-80,Victoria, British Columbia,Regular Unleaded,29.3
Jan-81,St. John's, Newfoundland and Labrador,Regular Unleaded,37.6
Jan-81,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,36.7
Jan-81,Halifax, Nova Scotia,Regular Unleaded,33.4
Jan-81,Saint John, New Brunswick,Regular Unleaded,32.6
Jan-81,Québec, Quebec,Regular Unleaded,34.8
Jan-81,Montréal, Quebec,Regular Unleaded,34.4
Jan-81,Ottawa-Gatineau, Ontario part,Regular Unleaded,33.7
Jan-81,Toronto, Ontario,Regular Unleaded,33.6
Jan-81,Thunder Bay, Ontario,Regular Unleaded,33.8
Jan-81,Winnipeg, Manitoba,Regular Unleaded,32.5
Jan-81,Regina, Saskatchewan,Regular Unleaded,33.0
Jan-81,Saskatoon, Saskatchewan,Regular Unleaded,33.1
Jan-81,Edmonton, Alberta,Regular Unleaded,27.4
Jan-81,Calgary, Alberta,Regular Unleaded,28.2
Jan-81,Vancouver, British Columbia,Regular Unleaded,33.8
Jan-81,Victoria, British Columbia,Regular Unleaded,31.3
Feb-81,St. John's, Newfoundland and Labrador,Regular Unleaded,37.6
Feb-81,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,37.2
Feb-81,Halifax, Nova Scotia,Regular Unleaded,33.4
Feb-81,Saint John, New Brunswick,Regular Unleaded,32.9
Feb-81,Québec, Quebec,Regular Unleaded,35.3
Feb-81,Montréal, Quebec,Regular Unleaded,34.9
Feb-81,Ottawa-Gatineau, Ontario part,Regular Unleaded,33.8
Feb-81,Toronto, Ontario,Regular Unleaded,33.8
Feb-81,Thunder Bay, Ontario,Regular Unleaded,33.8
Feb-81,Winnipeg, Manitoba,Regular Unleaded,30.6
Feb-81,Regina, Saskatchewan,Regular Unleaded,33.4
Feb-81,Saskatoon, Saskatchewan,Regular Unleaded,33.5
Feb-81,Edmonton, Alberta,Regular Unleaded,27.7
Feb-81,Calgary, Alberta,Regular Unleaded,28.2
Feb-81,Vancouver, British Columbia,Regular Unleaded,33.7
Feb-81,Victoria, British Columbia,Regular Unleaded,31.3
Mar-81,St. John's, Newfoundland and Labrador,Regular Unleaded,39.8
Mar-81,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,39.4
Mar-81,Halifax, Nova Scotia,Regular Unleaded,35.6
Mar-81,Saint John, New Brunswick,Regular Unleaded,34.7
Mar-81,Québec, Quebec,Regular Unleaded,37.1
Mar-81,Montréal, Quebec,Regular Unleaded,36.8
Mar-81,Ottawa-Gatineau, Ontario part,Regular Unleaded,35.8
Mar-81,Toronto, Ontario,Regular Unleaded,35.9
Mar-81,Thunder Bay, Ontario,Regular Unleaded,35.4
Mar-81,Winnipeg, Manitoba,Regular Unleaded,35.4
Mar-81,Regina, Saskatchewan,Regular Unleaded,35.5
Mar-81,Saskatoon, Saskatchewan,Regular Unleaded,35.1
Mar-81,Edmonton, Alberta,Regular Unleaded,29.0
Mar-81,Calgary, Alberta,Regular Unleaded,29.8
Mar-81,Vancouver, British Columbia,Regular Unleaded,37.3
Mar-81,Victoria, British Columbia,Regular Unleaded,33.4
Apr-81,St. John's, Newfoundland and Labrador,Regular Unleaded,40.6
Apr-81,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,41.0
Apr-81,Halifax, Nova Scotia,Regular Unleaded,35.6
Apr-81,Saint John, New Brunswick,Regular Unleaded,34.9
Apr-81,Québec, Quebec,Regular Unleaded,37.6
Apr-81,Montréal, Quebec,Regular Unleaded,37.3
Apr-81,Ottawa-Gatineau, Ontario part,Regular Unleaded,35.9
Apr-81,Toronto, Ontario,Regular Unleaded,36.1
Apr-81,Thunder Bay, Ontario,Regular Unleaded,35.5
Apr-81,Winnipeg, Manitoba,Regular Unleaded,32.2
Apr-81,Regina, Saskatchewan,Regular Unleaded,35.5
Apr-81,Saskatoon, Saskatchewan,Regular Unleaded,35.1
Apr-81,Edmonton, Alberta,Regular Unleaded,29.0
Apr-81,Calgary, Alberta,Regular Unleaded,29.8
Apr-81,Vancouver, British Columbia,Regular Unleaded,37.1
Apr-81,Victoria, British Columbia,Regular Unleaded,35.0
May-81,St. John's, Newfoundland and Labrador,Regular Unleaded,41.7
May-81,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,41.0
