REF_DATE,CITY,Type of fuel,VALUE
17-Aug,Canada,Regular Unleaded,109.7
17-Sep,Canada,Regular Unleaded,116.0
17-Oct,Canada,Regular Unleaded,112.4
17-Nov,Canada,Regular Unleaded,120.8
17-Dec,Canada,Regular Unleaded,116.9
18-Jan,Canada,Regular Unleaded,120.6
18-Feb,Canada,Regular Unleaded,119.7
18-Mar,Canada,Regular Unleaded,123.1
18-Apr,Canada,Regular Unleaded,131.6
18-May,Canada,Regular Unleaded,135.9
18-Jun,Canada,Regular Unleaded,132.9
18-Jul,Canada,Regular Unleaded,133.9
18-Aug,Canada,Regular Unleaded,131.8
18-Sep,Canada,Regular Unleaded,130.4
18-Oct,Canada,Regular Unleaded,125.9
18-Nov,Canada,Regular Unleaded,113.8
18-Dec,Canada,Regular Unleaded,106.4
19-Jan,Canada,Regular Unleaded,103.1
19-Feb,Canada,Regular Unleaded,105.1
19-Mar,Canada,Regular Unleaded,117.7
19-Apr,Canada,Regular Unleaded,129.5
19-May,Canada,Regular Unleaded,130.7
19-Jun,Canada,Regular Unleaded,119.9
19-Jul,Canada,Regular Unleaded,124.4
19-Aug,Canada,Regular Unleaded,117.9
19-Sep,Canada,Regular Unleaded,116.9
19-Oct,Canada,Regular Unleaded,117.2
19-Nov,Canada,Regular Unleaded,115.0
19-Dec,Canada,Regular Unleaded,114.5
20-Jan,Canada,Regular Unleaded,114.6
20-Feb,Canada,Regular Unleaded,112.2
20-Mar,Canada,Regular Unleaded,91.3
20-Apr,Canada,Regular Unleaded,77.8
20-May,Canada,Regular Unleaded,91.4
20-Jun,Canada,Regular Unleaded,101.0
20-Jul,Canada,Regular Unleaded,105.5
20-Aug,Canada,Regular Unleaded,104.6
20-Sep,Canada,Regular Unleaded,104.1
20-Oct,Canada,Regular Unleaded,102.6
20-Nov,Canada,Regular Unleaded,101.1
20-Dec,Canada,Regular Unleaded,104.4
21-Jan,Canada,Regular Unleaded,111.0
21-Feb,Canada,Regular Unleaded,118.2
21-Mar,Canada,Regular Unleaded,125.0
21-Apr,Canada,Regular Unleaded,127.5
21-May,Canada,Regular Unleaded,131.5
21-Jun,Canada,Regular Unleaded,133.7
21-Jul,Canada,Regular Unleaded,138.4
21-Aug,Canada,Regular Unleaded,139.0
21-Sep,Canada,Regular Unleaded,138.9
21-Oct,Canada,Regular Unleaded,146.0
21-Nov,Canada,Regular Unleaded,145.8
21-Dec,Canada,Regular Unleaded,140.0
22-Jan,Canada,Regular Unleaded,146.6
22-Feb,Canada,Regular Unleaded,156.8
22-Mar,Canada,Regular Unleaded,175.2
22-Apr,Canada,Regular Unleaded,173.8
22-May,Canada,Regular Unleaded,194.8
22-Jun,Canada,Regular Unleaded,207.2
22-Jul,Canada,Regular Unleaded,187.8
22-Aug,Canada,Regular Unleaded,169.6
22-Sep,Canada,Regular Unleaded,156.4
22-Oct,Canada,Regular Unleaded,171.5
22-Nov,Canada,Regular Unleaded,165.3
